City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,mejit,10.2753,170.8646,26.77,79,52,9.49,MH,1737391303
310,prado,-17.3411,-39.2208,28.21,72,100,7.28,BR,1737391272
311,barabai,-2.5833,115.3833,23.18,96,100,0.75,ID,1737391305
312,kulhudhuffushi,6.6221,73.07,27.95,73,99,2.3,MV,1737391306
313,sampacho,-33.3839,-64.7221,28.41,24,14,4.27,AR,1737391173
314,lepsy,46.235,78.9456,-3.37,95,100,2.28,KZ,1737391308
315,kingaroy,-26.5333,151.8333,15.99,98,1,1.01,AU,1737391310
316,ulladulla,-35.35,150.4667,14.42,80,87,1.47,AU,1737391311
317,aykhal,66.0,111.5,-20.9,98,100,3.05,RU,1737391312
318,port augusta,-32.5,137.7667,22.29,65,40,5.13,AU,1737391313
319,rio grande,-32.035,-52.0986,25.65,71,28,6.62,BR,1737391265
320,christchurch,-43.5333,172.6333,13.11,94,20,3.09,NZ,1737390980
321,qui nhon,13.7667,109.2333,18.22,84,62,3.18,VN,1737391216
322,bardai,11.65,7.2333,30.62,14,46,3.23,NG,1737391317
323,sumbe,-11.2061,13.8437,26.06,72,53,3.12,AO,1737391318
324,inirida,3.8653,-67.9239,33.9,38,1,1.79,CO,1737391319
325,suva,-18.1416,178.4415,24.71,100,40,1.03,FJ,1737391321
326,bac kan,22.1333,105.8333,13.48,81,0,0.66,VN,1737391322
327,rio preto da eva,-2.6994,-59.6997,31.93,54,69,0.81,BR,1737391323
328,kirensk,57.7853,108.1119,-8.93,91,97,5.09,RU,1737391324
329,alfredo v. bonfil,21.0833,-86.85,25.97,81,100,3.09,MX,1737391325
330,embi,48.8264,58.1442,-2.61,96,100,7.8,KZ,1737391326
331,nizhnyaya poyma,56.1622,97.1933,-8.45,88,66,2.48,RU,1737391327
332,carnarvon,-24.8667,113.6333,28.92,67,100,12.68,AU,1737391328
333,figuig (centre),32.1089,-1.2286,13.26,32,0,3.97,MA,1737391329
334,laughlin,35.1678,-114.573,10.63,21,0,11.32,US,1737391331
335,ulaangom,49.9811,92.0667,-25.35,89,31,1.44,MN,1737391332
336,pombal,-6.7703,-37.8017,32.49,43,97,2.78,BR,1737391075
337,ras el oued,35.9441,5.0311,5.43,58,0,2.73,DZ,1737391334
338,weno,7.4515,151.8468,28.28,78,96,9.7,FM,1737391335
339,aracati,-4.5617,-37.7697,31.26,50,89,4.64,BR,1737391336
340,acarau,-2.8856,-40.12,27.9,71,75,2.75,BR,1737391337
341,illizi,26.4833,8.4667,13.63,22,0,2.8,DZ,1737391338
342,cabo san lucas,22.8909,-109.9124,22.64,58,40,2.06,MX,1737391339
343,la'ie,21.6477,-157.9253,22.84,72,50,2.68,US,1737391341
